departure.airport,latitude,longitude,flight_count
Frankfurt International Airport,50.050735,8.570773,36
Franz Josef Strauss,48.353004,11.790143,21
Gatwick,51.156807,-0.161863,40
Gaziantep,36.944935,37.473747,12
Gazipasa Airport,36.2993,32.3014,1
Geneve-cointrin,46.229633,6.105774,38
Glasgow International,55.864212,-4.431782,1
Guangzhou Baiyun International,23.387861,113.29734,26
Guney Anadolu Projesi,37.094166,38.846943,2
Hargeisa,9.515833,44.091667,7
Hasanudin,-5.058312,119.54589,36
Heathrow,51.469604,-0.453566,124
Herat,34.212696,62.22599,9
Heydar Aliyev International (Bina International),40.462486,50.05039,38
Hong Kong International,22.315248,113.93649,8
Houari Boumediene,36.70058,3.21167,73
Hurghada,27.189156,33.8055,21
Hyderabad Airport,17.24,78.428055,164
Ibiza,38.876595,1.367803,2
Indira Gandhi International,28.556555,77.10079,162
Islamabad International,33.609707,73.1051,323
Isparta,37.86611,30.382221,1
Istanbul Airport,40.976665,28.815277,543
John F Kennedy International,40.642334,-73.78817,35
Jomo Kenyatta International,-1.319167,36.92578,61
Juanda,-7.38387,112.77724,63
Kandahar,31.506945,65.8475,11
Kannur International Airport,11.915858,75.55094,16
Khwaja Rawash,34.56069,69.21152,30
Kirkuk,35.516666,44.283333,1
Konya,37.979168,32.56222,16
Kozhikode Airport,11.14025,75.950584,213
Kuala Lumpur International Airport (klia),2.755672,101.70539,411
Kuwait International,29.240116,47.971252,656
L'Mekrareg,33.833332,2.983333,3
Leger,31.647778,-2.259722,2
Leonardo Da Vinci (Fiumicino),41.794594,12.250346,79
Les Salines,36.821392,7.811857,2
Lester B. Pearson International,43.681583,-79.61146,32
Liege Airport,50.643333,5.460149,6
Linate,45.460957,9.279157,1
Liszt Ferenc International,47.433037,19.261621,16
Los Angeles International,33.943398,-118.40828,24
Luxor,25.67492,32.699684,11
Mahmud Badaruddin Ii,-2.900146,104.69861,10
Makhachkala,42.82095,47.65611,1
Malatya,38.354443,38.253613,1
Malta International,35.849777,14.495401,3
Malé International Airport,4.201389,73.524445,8
Manchester Airport,53.362907,-2.273354,44
Mazar-i-sharif,36.70919,67.20849,7
Merzifon,40.88333,35.533333,3
Milano Malpensa,45.627403,8.71237,65
Milas,37.243954,27.672781,1
Minangkabau International Airport,-0.786667,100.280556,5
Mogadishu International Airport,2.013333,45.31333,6
Mohamed V,33.36667,-7.586667,157
Mubarak International,26.338877,31.737167,71
Multan International,30.199507,71.41498,181
Mus,38.725,41.625,1
Mérignac,44.83102,-0.70217,1
Nikos Kazantzakis Airport,35.33663,25.174192,1
Ninoy Aquino International,14.509602,121.01251,60
Noumerate,32.38222,3.800556,1
Novo Alexeyevka International,41.674065,44.958958,62
Nürnberg,49.494167,11.077062,1
Osmani International,24.957598,91.870476,20
Pablo Ruiz Picasso,36.675182,-4.489616,2
Patenga,22.245201,91.81516,35
Peshawar,33.989082,71.51925,69
Polonia,3.561111,98.672775,20
Port Sudan,19.577778,37.21389,59
Quaid-e-azam International,24.899986,67.16828,318
Queen Alia International,31.722534,35.98932,479
Quetta,30.249266,66.949036,2
Riyan Mukalla,14.666999,49.373684,9
Sabiha Gokcen,40.904675,29.309189,311
Salalah,17.038124,54.106937,26
Sale,34.036137,-6.748619,4
Sarajevo,43.826687,18.336065,76
Sardar Vallabhbhai Patel International Airport,23.06639,72.62417,71
Schiphol,52.30907,4.763385,42
Seeb,23.588078,58.29022,379
Seiyun,15.961794,48.787086,9
Sharjah,25.320873,55.52029,241
Sharm el-Sheikh International Airport,27.979357,34.385254,135
Sialkot International,32.533333,74.5,34
Singapore Changi,1.361173,103.990204,38
Sir Seewoosagur Ramgoolam International,-20.431997,57.67663,30
Sivas,39.81389,36.904167,1
Soekarno-Hatta International,-6.130643,106.655525,378
Son Sant Joan Airport,39.547653,2.730388,1
Sphinx International Airport,30.109722,30.894444,47
Stansted,51.889267,0.262703,4
Sultan Iskandarmuda Airport,5.518021,95.41833,2
Sultan Ismail International,1.638889,103.67083,5
Suvarnabhumi International,13.693062,100.752045,59
Tashkent International,41.262714,69.26619,35
Tokat,40.302223,36.36778,1
Trabzon,40.99419,39.78168,168
Vienna International,48.11972,16.563583,16
W. A. Mozart,47.791225,12.997331,1
Washington Dulles International,38.95315,-77.44774,33
Yenisehir,40.233334,29.55,3
Yohannes IV,15.291111,38.91028,20
Zenata,35.016666,-1.45,5
Zia International,23.848648,90.405876,270
Zurich,47.450603,8.561746,7
